Season,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,FTR,B365H,B365D,B365A,mktProb_homeWin,mktProb_Draw,mktProb_awayWin,results,predictions,probability,bet,payout,cum_payout,bankroll,payout_frac,cum_payout_frac,bankroll_frac,payout_kelly,cum_payout_kelly,bankroll_kelly
2017-2018,West Ham,Bournemouth,1.0,1.0,12.0,8.0,D,2.0,3.6,4.0,0.49,0.27,0.24,0,1,0.456,0,-0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
2017-2018,Southampton,Tottenham,1.0,1.0,10.0,17.0,D,5.75,4.09,1.64,0.17,0.24,0.59,0,2,0.444,0,-0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
2017-2018,Swansea,Liverpool,1.0,0.0,3.0,21.0,H,12.0,5.75,1.3,0.08,0.17,0.75,1,2,0.5,0,-0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
2017-2018,Huddersfield,Liverpool,0.0,3.0,5.0,14.0,A,12.0,5.75,1.3,0.08,0.17,0.75,2,2,0.632,0,0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
2017-2018,Swansea,Arsenal,3.0,1.0,12.0,9.0,H,7.0,4.59,1.5,0.14,0.21,0.65,1,2,0.576,0,-0.0,-1265.5,-265.5,0.0,-739.6129435870695,260.38705641293063,0.0,-712.2361934748483,287.76380652515167
2017-2018,West Ham,Crystal Palace,1.0,1.0,8.0,9.0,D,3.1,3.25,2.54,0.32,0.3,0.38,0,1,0.478,1,-50.0,-1315.5,-315.5,-13.019352820646532,-752.632296407716,247.3677035922841,-14.163547124803559,-726.3997405996519,273.6002594003481
2017-2018,Chelsea,Bournemouth,0.0,3.0,21.0,11.0,A,1.28,6.5,11.0,0.76,0.15,0.09,2,1,0.664,0,-0.0,-1315.5,-315.5,0.0,-752.632296407716,247.3677035922841,0.0,-726.3997405996519,273.6002594003481
2017-2018,Everton,Leicester,2.0,1.0,9.0,8.0,H,3.0,3.2,2.62,0.32,0.3,0.37,1,1,0.498,1,100.0,-1215.5,-215.5,24.736770359228412,-727.8955260484876,272.1044739515125,27.820568209344156,-698.5791723903077,301.42082760969225
2017-2018,Man City,West Brom,3.0,0.0,19.0,3.0,H,1.14,10.0,21.0,0.86,0.1,0.05,1,1,0.608,0,0.0,-1215.5,-215.5,0.0,-727.8955260484876,272.1044739515125,0.0,-698.5791723903077,301.42082760969225
2017-2018,Newcastle,Burnley,1.0,1.0,14.0,11.0,D,2.2,3.2,3.89,0.44,0.3,0.25,0,1,0.46,0,-0.0,-1215.5,-215.5,0.0,-727.8955260484876,272.1044739515125,0.0,-698.5791723903077,301.42082760969225
2017-2018,Southampton,Brighton,1.0,1.0,18.0,9.0,D,1.75,3.5,6.0,0.56,0.28,0.16,0,1,0.418,0,-0.0,-1215.5,-215.5,0.0,-727.8955260484876,272.1044739515125,0.0,-698.5791723903077,301.42082760969225
2017-2018,Stoke,Watford,0.0,0.0,11.0,12.0,D,2.25,3.5,3.39,0.43,0.28,0.29,0,2,0.406,1,-50.0,-1265.5,-265.5,-13.605223697575624,-741.5007497460632,258.49925025393685,-12.56732022993542,-711.1464926202431,288.8535073797568
2017-2018,Tottenham,Man United,2.0,0.0,22.0,6.0,H,2.35,3.29,3.39,0.42,0.3,0.29,1,2,0.44,1,-50.0,-1315.5,-315.5,-12.924962512696844,-754.4257122587601,245.57428774124,-13.844335960844058,-724.9908285810872,275.0091714189128
2017-2018,Arsenal,Everton,5.0,1.0,15.0,11.0,H,1.3,5.75,12.0,0.75,0.17,0.08,1,1,0.674,0,0.0,-1315.5,-315.5,0.0,-754.4257122587601,245.57428774124,0.0,-724.9908285810872,275.0091714189128
2017-2018,Bournemouth,Stoke,2.0,1.0,15.0,13.0,H,1.9,3.7,4.33,0.51,0.26,0.22,1,1,0.63,1,44.99999999999999,-1270.5,-270.5,11.0508429483558,-743.3748693104043,256.6251306895958,10.009033120594415,-714.9817954604928,285.0182045395072
2017-2018,Brighton,West Ham,3.0,1.0,21.0,4.0,H,2.35,3.0,3.7,0.41,0.32,0.26,1,1,0.524,1,67.5,-1203.0,-203.0,17.322196321547718,-726.0526729888566,273.9473270111435,14.825138080238782,-700.156657380254,299.843342619746
2017-2018,Burnley,Man City,1.0,1.0,8.0,20.0,D,13.0,6.0,1.28,0.08,0.16,0.76,0,2,0.702,0,-0.0,-1203.0,-203.0,0.0,-726.0526729888566,273.9473270111435,0.0,-700.156657380254,299.843342619746
2017-2018,Leicester,Swansea,1.0,1.0,13.0,3.0,D,1.8,3.6,5.25,0.54,0.27,0.19,0,1,0.526,0,-0.0,-1203.0,-203.0,0.0,-726.0526729888566,273.9473270111435,0.0,-700.156657380254,299.843342619746
2017-2018,Man United,Huddersfield,2.0,0.0,16.0,4.0,H,1.16,8.5,19.0,0.83,0.11,0.05,1,1,0.768,0,0.0,-1203.0,-203.0,0.0,-726.0526729888566,273.9473270111435,0.0,-700.156657380254,299.843342619746
2017-2018,West Brom,Southampton,2.0,3.0,9.0,13.0,A,2.54,3.2,3.1,0.38,0.3,0.31,2,1,0.466,1,-50.0,-1253.0,-253.0,-13.697366350557175,-739.7500393394138,260.24996066058634,-10.401026511267538,-710.5576838915216,289.44231610847845
